#options: 380x288 fps=8090/1 timebase=1/8090 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=46 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=126 scenecut=1743 intra_refresh=0 rc_lookahead=40 rc=cbr mbtree=1 bitrate=8 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=8 vbv_bufsize=9074 nal_hrd=none filler=0 ip_ratio=0.01 aq=1:1.00
in:47 out:47 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
