#options: 380x288 fps=72/1 timebase=1/72 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=54 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=81 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=cbr mbtree=1 bitrate=94 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=94 vbv_bufsize=64 nal_hrd=none filler=0 ip_ratio=0.02 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:69.00 aq:51.00 tex:74 mv:195 misc:99 imb:432 pmb:0 smb:0 d:- ref:;
in:63 out:60 type:P dur:2 cpbdur:2 q:55.56 aq:49.90 tex:95 mv:132 misc:165 imb:7 pmb:6 smb:419 d:- ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:57.03 aq:51.00 tex:16 mv:18 misc:134 imb:0 pmb:2 smb:430 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:57.05 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:57.01 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:52.79 aq:50.61 tex:95 mv:106 misc:159 imb:10 pmb:3 smb:419 d:- ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:55.48 aq:51.00 tex:13 mv:6 misc:133 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:55.52 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:55.44 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:71 out:68 type:P dur:2 cpbdur:2 q:51.26 aq:48.88 tex:126 mv:116 misc:166 imb:6 pmb:6 smb:420 d:- ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:52.74 aq:51.00 tex:16 mv:8 misc:136 imb:0 pmb:2 smb:430 d:- ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:52.77 aq:51.00 tex:1 mv:3 misc:116 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:52.72 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:47.61 aq:40.74 tex:473 mv:273 misc:294 imb:23 pmb:18 smb:391 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:44.72 aq:37.32 tex:943 mv:494 misc:371 imb:43 pmb:34 smb:355 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:47.50 aq:49.00 tex:1 mv:10 misc:141 imb:0 pmb:4 smb:428 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:47.56 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:47.44 aq:49.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:46.19 aq:37.10 tex:89 mv:38 misc:153 imb:3 pmb:3 smb:426 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:43.67 aq:35.50 tex:1612 mv:725 misc:415 imb:69 pmb:45 smb:318 d:- ref:0 ;
in:82 out:79 type:P dur:2 cpbdur:2 q:41.30 aq:35.05 tex:2055 mv:644 misc:413 imb:55 pmb:51 smb:326 d:- ref:0 ;
